"","Fecha","AAPL.MX.Close"
"1",2020-04-06,1597.33996582031
"2",2020-04-07,1584.27001953125
"3",2020-04-08,1598.40502929688
"4",2020-04-13,1612.18005371094
"5",2020-04-14,1684.70495605469
"6",2020-04-15,1710.48254394531
"7",2020-04-16,1733.75500488281
"8",2020-04-17,1676.5224609375
"9",2020-04-20,1673.28747558594
"10",2020-04-21,1640.17248535156
"11",2020-04-22,1692.40246582031
"12",2020-04-23,1706.1474609375
"13",2020-04-24,1764.22253417969
"14",2020-04-27,1751.30749511719
"15",2020-04-28,1701.49255371094
"16",2020-04-29,1716.33996582031
"17",2020-04-30,1763.43505859375
"18",2020-05-04,1766.1650390625
"19",2020-05-05,1789.15747070312
"20",2020-05-06,1831.625
"21",2020-05-07,1825.92504882812
"22",2020-05-08,1840.27746582031
"23",2020-05-11,1886.51745605469
"24",2020-05-12,1896.94750976562
"25",2020-05-13,1853.2099609375
"26",2020-05-14,1837.64245605469
"27",2020-05-15,1838.11755371094
"28",2020-05-18,1871.61499023438
"29",2020-05-19,1861.25
"30",2020-05-20,1845.6875
"31",2020-05-21,1816.59997558594
"32",2020-05-22,1812.92749023438
"33",2020-05-25,1805.26000976562
"34",2020-05-26,1758.93249511719
"35",2020-05-27,1772.21496582031
"36",2020-05-28,1770.72998046875
"37",2020-05-29,1776.3974609375
"38",2020-06-01,1774.23754882812
"39",2020-06-02,1752.83752441406
"40",2020-06-03,1770.21496582031
"41",2020-06-04,1764.23999023438
"42",2020-06-05,1788.42749023438
"43",2020-06-08,1795.74755859375
"44",2020-06-09,1877.9150390625
"45",2020-06-10,1920.76245117188
"46",2020-06-11,1913.21252441406
"47",2020-06-12,1893.71252441406
"48",2020-06-15,1902.21496582031
"49",2020-06-16,1959.74755859375
"50",2020-06-17,1970.61254882812
"51",2020-06-18,1999.92004394531
"52",2020-06-19,1962.95495605469
"53",2020-06-22,2017.125
"54",2020-06-23,2061.32250976562
"55",2020-06-24,2047.57250976562
"56",2020-06-25,2066.1201171875
"57",2020-06-26,2051.47241210938
"58",2020-06-29,2083.78491210938
"59",2020-06-30,2099.80249023438
"60",2020-07-01,2073.64501953125
"61",2020-07-02,2052.26489257812
"62",2020-07-03,2081.42749023438
"63",2020-07-06,2090.31494140625
"64",2020-07-07,2131.77001953125
"65",2020-07-08,2161.25
"66",2020-07-09,2161.10498046875
"67",2020-07-10,2150.8701171875
"68",2020-07-13,2172.91748046875
"69",2020-07-14,2180.1875
"70",2020-07-15,2179.24755859375
"71",2020-07-16,2169.02758789062
"72",2020-07-17,2183.830078125
"73",2020-07-20,2212.05249023438
"74",2020-07-21,2170
"75",2020-07-22,2177.24243164062
"76",2020-07-23,2087.6923828125
"77",2020-07-24,2063.82250976562
"78",2020-07-27,2083.79248046875
"79",2020-07-28,2052.49243164062
"80",2020-07-29,2087.86743164062
"81",2020-07-30,2123.77001953125
"82",2020-07-31,2364.18994140625
"83",2020-08-03,2465.04248046875
"84",2020-08-04,2491.86743164062
"85",2020-08-05,2459.15747070312
"86",2020-08-06,2549.5849609375
"87",2020-08-07,2489.02490234375
"88",2020-08-10,2532.69506835938
"89",2020-08-11,2454.72241210938
"90",2020-08-12,2522.8974609375
"91",2020-08-13,2555.54248046875
"92",2020-08-14,2520.42260742188
"93",2020-08-17,2543.09008789062
"94",2020-08-18,2558.01245117188
"95",2020-08-19,2569.11499023438
"96",2020-08-20,2615.97998046875
"97",2020-08-21,2731.3701171875
"98",2020-08-24,2766.0224609375
"99",2020-08-25,2735.26000976562
"100",2020-08-26,2768.40991210938
"101",2020-08-27,2774.5224609375
"102",2020-08-28,2738.38500976562
"103",2020-08-31,2847.6298828125
"104",2020-09-01,2923.57006835938
"105",2020-09-02,2858.30004882812
"106",2020-09-03,2631.80004882812
"107",2020-09-04,2616.48999023438
"108",2020-09-07,2692.55004882812
"109",2020-09-08,2470.46997070312
"110",2020-09-09,2508.22998046875
"111",2020-09-10,2445.02001953125
"112",2020-09-11,2378.72998046875
"113",2020-09-14,2435.64990234375
"114",2020-09-15,2431.27001953125
"115",2020-09-17,2301.8798828125
"116",2020-09-18,2267.25
"117",2020-09-21,2344.67993164062
"118",2020-09-22,2435.09008789062
"119",2020-09-23,2406.06005859375
"120",2020-09-24,2399.61010742188
"121",2020-09-25,2501.17993164062
"122",2020-09-28,2572.6201171875
"123",2020-09-29,2556.77001953125
"124",2020-09-30,2566.28002929688
"125",2020-10-01,2539.92993164062
"126",2020-10-02,2457.23999023438
"127",2020-10-05,2489.30004882812
"128",2020-10-06,2456.03002929688
"129",2020-10-07,2476.6298828125
"130",2020-10-08,2459.32006835938
"131",2020-10-09,2459.32006835938
"132",2020-10-12,2638.9599609375
"133",2020-10-13,2594.10009765625
"134",2020-10-14,2592.9599609375
"135",2020-10-15,2573.25
"136",2020-10-16,2520.169921875
"137",2020-10-19,2520.169921875
"138",2020-10-20,2484.669921875
"139",2020-10-21,2476.6298828125
"140",2020-10-22,2437.98999023438
"141",2020-10-23,2399.830078125
"142",2020-10-26,2399.75
"143",2020-10-27,2447.34008789062
"144",2020-10-28,2377.1201171875
"145",2020-10-29,2480.72998046875
"146",2020-10-30,2303.7900390625
"147",2020-11-03,2357.919921875
"148",2020-11-04,2419.78002929688
"149",2020-11-05,2461.5
"150",2020-11-06,2440.580078125
"151",2020-11-09,2386.71997070312
"152",2020-11-10,2371.85009765625
"153",2020-11-11,2448.28002929688
"154",2020-11-12,2460.32006835938
